date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:37	441816/441816	---M--	200	added ('OK')	image/png	etag:%226bdd8-5846cb6bd7fc0%22	http://demo4.sxzywl.net/themes/haixin/public/assets/images/join_03.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/images/join_03.png	(from http://demo4.sxzywl.net/)
14:08:37	15700/15700	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202019%2006:06:02%20GMT	http://demo4.sxzywl.net/portal/list/succ?ye=1&tid=3&cid=23	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/succ2ddb.html	(from http://demo4.sxzywl.net/portal/list/succ/id/23.html?tid=3&cid=23)
14:08:37	936/936	---M-Z	404	error ('Not%20Found')	text/html	etag:%223a8-5858ebc722240-gzip%22	https://demo4.sxzywl.net/portal/list/succ/id/www.zoyuan.net	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/succ/id/www.zoyuan.64.delayed	(from http://demo4.sxzywl.net/portal/list/succ/id/23.html?tid=3&cid=23)
14:08:40	26396/26396	---M--	200	added ('OK')	image/jpeg	etag:%22671c-5846cb62264b8%22	http://demo4.sxzywl.net/upload/portal/20180717/c450cf9ea95c5ea47a0bdc8509abfeb1.jpg	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/upload/portal/20180717/c450cf9ea95c5ea47a0bdc8509abfeb1.jpg	(from http://demo4.sxzywl.net/portal/list/succ/id/23.html?tid=3&cid=23)
14:08:40	936/936	---M-Z	404	error ('Not%20Found')	text/html	etag:%223a8-5858ebc722240-gzip%22	https://demo4.sxzywl.net/portal/list/course/id/www.zoyuan.net	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/course/id/www.zoyuan.66.delayed	(from http://demo4.sxzywl.net/portal/list/course/id/26.html?tid=3&cid=26)
14:08:41	30535/30535	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202019%2006:06:06%20GMT	http://demo4.sxzywl.net/portal/list/company/id/27.html?tid=3&cid=27&mapid=39	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/company/id/27441a.html	(from http://demo4.sxzywl.net/portal/list/company/id/27.html?tid=3&cid=27)
14:08:47	59270/59270	---M--	200	added ('OK')	image/png	etag:%22e786-5846cb6a49ca8%22	http://demo4.sxzywl.net/themes/haixin/public/assets/images/about2-08.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/images/about2-08.png	(from http://demo4.sxzywl.net/portal/list/course/id/26.html?tid=3&cid=26)
14:08:47	21332/21332	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202019%2006:06:13%20GMT	http://demo4.sxzywl.net/portal/list/company/id/27.html?tid=3&cid=27&mapid=40	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/company/id/27a213.html	(from http://demo4.sxzywl.net/portal/list/company/id/27.html?tid=3&cid=27)
14:08:58	62443/62443	---M--	200	added ('OK')	image/png	etag:%22f3eb-5846cb5f9aed8%22	http://demo4.sxzywl.net/upload/portal/20180707/c1109cd9eaed77bf4e3c493359ab8698.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/upload/portal/20180707/c1109cd9eaed77bf4e3c493359ab8698.png	(from http://demo4.sxzywl.net/portal/list/company/id/27.html?tid=3&cid=27)
14:08:58	936/936	---M-Z	404	error ('Not%20Found')	text/html	etag:%223a8-5858ebc722240-gzip%22	https://demo4.sxzywl.net/portal/list/company/id/www.zoyuan.net	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/company/id/www.zoyuan.6b.delayed	(from http://demo4.sxzywl.net/portal/list/company/id/27.html?tid=3&cid=27)
14:09:10	181571/181571	---M--	200	added ('OK')	image/jpeg	etag:%222c543-5846cb622d9e8%22	http://demo4.sxzywl.net/upload/portal/20180717/c4d0692d74f26bbbd405151161969b8b.jpg	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/upload/portal/20180717/c4d0692d74f26bbbd405151161969b8b.jpg	(from http://demo4.sxzywl.net/portal/list/company/id/27.html?tid=3&cid=27)
14:10:12	459002/459002	---M--	200	added ('OK')	image/png	etag:%22700fa-5846cb6bc2fd0%22	http://demo4.sxzywl.net/themes/haixin/public/assets/images/jiejue_03.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/images/jiejue_03.png	(from http://demo4.sxzywl.net/portal/list/article_list/id/6.html?tid=6)
14:10:12	936/936	---M-Z	404	error ('Not%20Found')	text/html	etag:%223a8-5858ebc722240-gzip%22	https://demo4.sxzywl.net/portal/list/article_list/id/www.zoyuan.net	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/article_list/id/www.zoyuan.71.delayed	(from http://demo4.sxzywl.net/portal/list/article_list/id/6.html?tid=6)
14:10:57	330474/330474	---M--	200	added ('OK')	image/png	etag:%2250aea-5846cb602c6f8%22	http://demo4.sxzywl.net/upload/portal/20180709/55062b8d0094e077dcbe162d06b88cdc.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/upload/portal/20180709/55062b8d0094e077dcbe162d06b88cdc.png	(from http://demo4.sxzywl.net/portal/list/article_list/id/6.html?tid=6)
14:11:21	430357/430357	---M--	200	added ('OK')	image/png	etag:%2269115-5846cb5fc9508%22	http://demo4.sxzywl.net/upload/portal/20180709/14e5c6beda58c7f2de95148e1df32d3c.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/upload/portal/20180709/14e5c6beda58c7f2de95148e1df32d3c.png	(from http://demo4.sxzywl.net/portal/list/article_villa/id/6.html?tid=6)
